index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
37,2021,376,346886808788,8842000,92.7,43804133.54335700,1719327.2908662900,293.7945774,1.37E-05,0.0001745404249,8.03E-07,17.69060796,0.1643951152
38,2021,682,746326635855,35263000,84.5,174718035.54636900,14017069.609359600,299.0646005,3.87E-06,0.0004187359582,1.93E-06,16.02323352,0.2480682811
39,2021,710,344983951926,59366000,67.8,225298797.69856900,57579706.08357830,294.6498071,1.88E-05,0.000418740372,1.93E-06,19.93073248,0.1249433832
40,2021,100,58500679589,6892000,76.0,26563125.87302530,23125330.56532320,285.5712583,3.05E-05,0.0004187523969,1.93E-06,18.35904975,0.136772932
41,2021,642,221383936514,19295000,54.3,73174216.5190479,61612468.73148820,283.7346174,3.06E-05,0.0004187535035,1.93E-06,17.06664854,0.1245719364
42,2022,36,1577788719425,25996000,86.5,187008183.14242500,294326871.1014070,295.2353592,1.67E-05,0.00042165928,1.94E-06,22.23636211,0.08954650475
43,2022,40,418240500043,8820000,59.3,57419836.03376490,23518424.006974500,284.3344554,2.98E-05,0.0004216586147,1.94E-06,17.37561787,0.1217370553
44,2022,56,500785743534,11711000,98.2,84098850.90855600,9020402.018800390,285.1994286,2.6E-05,0.0004216605001,1.94E-06,17.67052234,0.1175849991
45,2022,124,1696452361073,38242000,81.8,313286416.0746150,548407724.1869910,273.2481628,2.63E-05,0.0004216583167,1.94E-06,11.43957875,0.06197124975
46,2022,203,217525081083,10632000,74.4,60699411.42277970,25784993.44483940,284.6330308,2.5E-05,0.0004216599787,1.94E-06,17.60427013,0.1204114179
47,2022,208,347370597891,5842000,88.4,40332703.06379480,22616725.169778300,279.7655511,4.67E-05,0.0004216587595,1.94E-06,13.88535516,0.08856038453
48,2022,246,261282366476,5617000,85.7,33689019.66818760,67331456.47201300,276.676072,2.81E-05,0.0004216625647,1.94E-06,12.12173032,0.08570465435
49,2022,250,2633702478236,66182000,81.5,292089787.4759020,159592867.84271100,285.9067631,3.04E-05,0.0004216603149,1.94E-06,17.87084096,0.1087049294
50,2022,276,3675716735392,82592000,77.6,388350523.2311460,120371291.4627750,284.4476299,3.1E-05,0.0004216600925,1.94E-06,17.33281511,0.1181733854
51,2022,300,203376957092,11045000,80.4,43426486.30746010,13960900.20975870,288.5651326,2.37E-05,0.0004216602759,1.94E-06,17.48968226,0.1398389003
52,2022,348,153457085628,9551000,72.6,36699881.17989670,26846222.77675550,284.1513636,2.7E-05,0.0004216573612,1.94E-06,17.24022232,0.1213276705
54,2022,372,418624852618,4962000,64.2,25869235.009215400,14787245.684631200,283.9468033,4.63E-05,0.0004216584754,1.94E-06,16.57057645,0.1244408831
55,2022,380,1900008878852,58937000,71.7,266077513.9099590,50884981.02895590,286.3667711,3.47E-05,0.0004216575934,1.94E-06,16.78324464,0.1071277019
56,2022,392,4572786126608,125697000,92.0,606822745.4963740,73417989.08774850,283.3121695,4.11E-05,0.000421656305,1.94E-06,18.98041814,0.2049163434
57,2022,410,1729778539247,51817000,81.4,342797318.488683,32831078.04927380,285.3700649,3.12E-05,0.000421655966,1.94E-06,19.20204944,0.3225849193
58,2022,442,73029388779,619000,91.9,7740699.596112510,701102.3719310350,285.8065245,2.89E-05,0.0004216604583,1.94E-06,18.55626837,0.1213857574
59,2022,484,1246685884420,136869000,81.3,319592181.5405800,146341022.79868300,296.4896679,3.32E-05,0.0004216593752,1.94E-06,30.45573261,0.08519942785
60,2022,528,858558365041,17278000,92.9,107419435.3150130,13172131.982405400,284.434201,2.88E-05,0.0004216604838,1.94E-06,16.97617778,0.1166586578
61,2022,554,221666485777,4916000,86.9,25726614.183121600,41644390.27675530,288.0156754,3.91E-05,0.0004216593722,1.94E-06,18.57531883,0.09728316163
62,2022,578,433047349467,5551000,83.7,30717075.659063900,37026979.39173310,277.8404494,3.37E-05,0.0004216599568,1.94E-06,12.11453385,0.09012624095
63,2022,616,602061530806,37741000,60.1,183296098.0347060,76639191.89759260,283.724638,2.75E-05,0.0004216592767,1.94E-06,16.9311986,0.1097040322
64,2022,620,223094478301,10148000,67.4,48802493.398099500,13550289.138045200,287.9539332,3.5E-05,0.000421658028,1.94E-06,19.51747129,0.1247564798
66,2022,724,1327891884081,46424000,81.3,256705138.953524,69914465.1229741,287.89846,3.05E-05,0.0004216589998,1.94E-06,18.88493739,0.1095719857
67,2022,752,570913443589,10252000,88.5,60122423.207372300,90504723.67838020,278.3494444,3.35E-05,0.0004216598502,1.94E-06,12.87664311,0.08400504243
68,2022,756,781766353836,8790000,74.1,37652258.509168000,8577517.417219890,293.508358,2.68E-05,0.0004216280601,1.94E-06,25.04878634,0.181223573
69,2022,792,1109218109937,85019000,77.0,294516876.71571600,111013897.45940500,286.2088274,2.61E-05,0.0004216548623,1.94E-06,15.597009,0.1568840078
70,2022,826,3231091335228,68057000,84.4,274259161.3125690,71849320.75159390,284.1415696,3.71E-05,0.0004216586646,1.94E-06,16.7034396,0.1160228332
71,2022,840,21335428549329,336150000,83.1,2851819459.3884300,1115288560.7839400,286.7050037,3.83E-05,0.0004216588027,1.94E-06,19.75891651,0.07285843747
72,2022,32,555946287504,46313000,92.3,151314534.12596100,297330508.8792330,287.9828506,2.63E-05,0.0004216616621,1.94E-06,16.76786764,0.0837794419
73,2022,76,1859477344881,216636000,87.6,570229910.9782140,1794702148.3456000,296.757386,5.44E-05,0.0004216592114,1.94E-06,36.47938225,0.1144815536
74,2022,152,274793585869,18734000,87.9,83865627.48620900,62939803.029065400,286.029829,3.13E-05,0.0004216590991,1.94E-06,13.71446166,0.07367331246
75,2022,156,16776002016475,1431850000,63.6,6520203941.456270,1391960578.6368100,281.8202188,2.44E-05,0.0004216602816,1.94E-06,15.70366976,0.2695340379
76,2022,170,332387750803,50917000,82.1,94479664.22919720,171769524.6953400,299.126261,8.75E-05,0.0004216581772,1.94E-06,47.23953427,0.135718918
77,2022,356,2978985990817,1411415000,35.9,1837083510.347290,614997486.2619720,291.2565506,2.34E-05,0.0004216623978,1.94E-06,23.46133812,0.3955211676
78,2022,360,1135389552093,277425000,57.9,513087475.60680000,339818878.8310810,300.9220484,8.84E-05,0.0004216591917,1.94E-06,53.07103096,0.118132347
79,2022,376,362661510906,8969000,92.8,42434499.55427340,1752548.2468137200,293.8761208,1.71E-05,0.0001754779732,8.06E-07,17.94886586,0.177043018
80,2022,682,774467507888,35796000,84.7,173864625.43429300,14094036.342212800,299.3188461,3.75E-06,0.000421653815,1.94E-06,16.33534338,0.2525847789
81,2022,710,353614686607,59996000,68.3,228168759.9462810,57525427.870436800,293.9357035,1.8E-05,0.00042166145,1.94E-06,19.2034233,0.1174375152
82,2022,100,61096253573,6844000,76.4,25854627.334163000,23210992.784827000,286.4369464,2.2E-05,0.0004216572431,1.94E-06,18.09895374,0.1269656883
83,2022,642,231519997107,19202000,54.5,73974861.79487720,62918193.47683720,284.8052726,2.8E-05,0.0004216571517,1.94E-06,17.77059193,0.1253066919
84,2023,36,1627149154533,26287000,86.6,189030870.45013100,294105593.18273600,295.2321362,1.77E-05,0.0004245912722,1.95E-06,23.58721057,0.09030957775
85,2023,40,426568646212,8841000,59.5,57874669.27062220,23377944.345953200,281.6246579,2.91E-05,0.000424595712,1.95E-06,14.79527654,0.097660276
86,2023,56,509084588836,11749000,98.2,84778604.69255890,8900014.294647910,283.2301029,2.93E-05,0.0004245928236,1.95E-06,15.98878718,0.09805238087
