index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
0,2021,36,1525415318473,25700000,86.4,184745561.4576410,294441484.6115060,294.9075133,1.89E-05,0.0004201491764,1.95E-06,22.59396411,0.08605885203
1,2021,40,401235645902,8801000,59.0,56087259.108491,23612073.48869940,283.223992,3.15E-05,0.0004201519703,1.95E-06,15.91655322,0.1409007673
2,2021,56,483822267325,11669000,98.1,83968570.20527820,8894941.434561920,285.2891549,2.55E-05,0.0004201503854,1.95E-06,17.67100759,0.1286273849
3,2021,124,1635077510518,37924000,81.7,310539970.0332440,545913180.7608370,272.3890955,2.52E-05,0.0004201508881,1.95E-06,11.02131559,0.06633156154
4,2021,203,207389504280,10634000,74.2,60547159.86587960,25952211.112902200,283.4943915,2.35E-05,0.0004201484723,1.95E-06,15.97744794,0.1369701537
5,2021,208,337559218312,5819000,88.2,39962081.310046700,22794363.895627800,279.6663178,3.21E-05,0.0004201437516,1.95E-06,13.37637026,0.09389430524
6,2021,246,254452133804,5599000,85.6,33802940.355665100,67132333.24109210,275.1626678,2.09E-05,0.0004201445605,1.95E-06,11.05467849,0.08919092971
7,2021,250,2533446087869,65955000,81.2,293811888.2796350,161541096.94394000,285.0118162,3.38E-05,0.0004201513754,1.95E-06,17.04455042,0.122024663
8,2021,276,3520521627395,82591000,77.5,388157885.3632220,122480599.22160100,284.0756503,2.85E-05,0.0004201485356,1.95E-06,16.4909693,0.1263185651
9,2021,300,193775239821,11075000,80.0,43326578.62085670,14070785.827363300,285.9155087,2.72E-05,0.000420143689,1.95E-06,16.14659523,0.167392722
10,2021,348,146196634821,9586000,72.2,36662551.98177850,25082124.01362670,282.1158085,2.72E-05,0.00042015366,1.95E-06,15.14840057,0.1486636707
12,2021,372,398201329917,4926000,63.9,25890744.62275340,14669473.539230800,284.2396071,4.51E-05,0.000420149308,1.95E-06,17.04924069,0.1320106935
13,2021,380,1820150135375,59038000,71.3,264815984.86986100,52207877.47480600,284.6273387,3.47E-05,0.0004201480203,1.95E-06,15.84053612,0.1269252062
14,2021,392,4481582897176,126109000,91.9,602053738.5475050,73798875.35493790,282.8448947,3.55E-05,0.0004201454139,1.95E-06,17.6678273,0.2605751668
15,2021,410,1682103752734,51667000,81.4,337074685.62413500,33010212.5789568,284.5833524,2.15E-05,0.0004201476303,1.95E-06,17.26781447,0.3939761628
16,2021,442,71045046305,611000,91.7,7762253.747333610,703305.879981894,285.5957807,3.02E-05,0.0004201495156,1.95E-06,18.13359798,0.132839455
17,2021,484,1208299602498,135384000,81.0,314305527.27288700,146231144.13381100,296.4937244,3.06E-05,0.0004201490343,1.95E-06,29.62600825,0.09558769215
18,2021,528,827653176373,17230000,92.6,105376777.07729600,13440156.82219560,284.705058,2.68E-05,0.0004201499163,1.95E-06,17.08654309,0.1264977419
19,2021,554,213596510623,4876000,86.8,25506558.69154190,41710288.5149692,287.7718665,3.65E-05,0.0004201486344,1.95E-06,17.47608831,0.08258388078
20,2021,578,417517457539,5500000,83.3,30644812.6669606,37008954.1419498,277.1545495,2.67E-05,0.0004201442988,1.95E-06,11.50970302,0.09599737123
21,2021,616,574813850435,37847000,60.1,189583720.10660500,74598424.45447750,282.4681406,2E-05,0.0004201476577,1.95E-06,14.98892683,0.1179029559
22,2021,620,212600590967,10183000,66.8,48221974.30225670,13515080.07813530,287.3293046,3.33E-05,0.0004201491398,1.95E-06,18.91807837,0.1346943656
24,2021,724,1249710237157,46450000,81.1,247196832.05442300,68789978.52125760,287.0810204,3.16E-05,0.000420149938,1.95E-06,18.42912787,0.1211732421
25,2021,752,552092558635,10188000,88.2,60117964.00206670,90471985.32018370,277.8460755,2.55E-05,0.0004201448263,1.95E-06,12.0864486,0.08915227522
26,2021,756,759858338559,8731000,74.0,37444837.88160220,8574813.19147368,293.0318635,2.56E-05,0.0003852292915,1.78E-06,24.6442674,0.170247556
27,2021,792,1072910786493,84515000,76.6,290298443.9140900,111604539.40203600,283.7121008,3.31E-05,0.0004201446693,1.95E-06,14.31513181,0.1788353987
28,2021,826,3062008441853,67699000,84.2,277011736.13495100,72729792.62029720,284.4427485,3.55E-05,0.0004201481694,1.95E-06,17.10644728,0.1269181184
29,2021,840,20602876855524,333783000,82.9,2806605578.7192700,1121855609.2669900,287.1500728,3.63E-05,0.0004201446292,1.95E-06,19.51982895,0.08082198933
30,2021,32,545983817172,45914000,92.2,149554747.64059500,289038885.85156700,287.3208563,2.55E-05,0.0004201521075,1.95E-06,16.30892,0.09041154548
