index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
0,2021,36,1525415318473,25700000,86.4,184745561.4576410,294441484.6115060,295.044218,1.85E-05,0.0004184210204,1.89E-06,23.46242207,0.08658189386
1,2021,40,401235645902,8801000,59.0,56087259.108491,23612073.48869940,282.8394508,3.26E-05,0.0004184207656,1.89E-06,16.16109356,0.1313434338
2,2021,56,483822267325,11669000,98.1,83968570.20527820,8894941.434561920,284.7616129,2.39E-05,0.000418420656,1.89E-06,16.83067442,0.1044618901
3,2021,124,1635077510518,37924000,81.7,310539970.0332440,545913180.7608370,272.8018837,2.63E-05,0.0004184243044,1.89E-06,11.26180886,0.06235347499
4,2021,203,207389504280,10634000,74.2,60547159.86587960,25952211.112902200,283.3834138,2.87E-05,0.0004184245843,1.89E-06,16.95418576,0.1379209064
5,2021,208,337559218312,5819000,88.2,39962081.310046700,22794363.895627800,279.634731,3.61E-05,0.0004184199853,1.89E-06,13.27071979,0.08391482354
6,2021,246,254452133804,5599000,85.6,33802940.355665100,67132333.24109210,276.0094619,2.13E-05,0.0004184219834,1.89E-06,11.41161596,0.08316637407
7,2021,250,2533446087869,65955000,81.2,293811888.2796350,161541096.94394000,284.2442646,3.19E-05,0.0004184181427,1.89E-06,16.45695123,0.1039274989
8,2021,276,3520521627395,82591000,77.5,388157885.3632220,122480599.22160100,283.6059901,2.67E-05,0.0004184219674,1.89E-06,16.21631913,0.112432481
9,2021,300,193775239821,11075000,80.0,43326578.62085670,14070785.827363300,286.7682961,3.01E-05,0.0004184368746,1.89E-06,16.70958323,0.175916467
10,2021,348,146196634821,9586000,72.2,36662551.98177850,25082124.01362670,282.5484016,3.42E-05,0.0004184243108,1.89E-06,16.51043985,0.1627331245
12,2021,372,398201329917,4926000,63.9,25890744.62275340,14669473.539230800,284.6887491,3.81E-05,0.0004184162865,1.89E-06,16.76488894,0.1055346426
13,2021,380,1820150135375,59038000,71.3,264815984.86986100,52207877.47480600,284.3152212,3.54E-05,0.0004184181463,1.89E-06,15.76453728,0.1269520704
14,2021,392,4481582897176,126109000,91.9,602053738.5475050,73798875.35493790,282.8465827,4.46E-05,0.0004184237288,1.89E-06,18.20007058,0.2002575391
15,2021,410,1682103752734,51667000,81.4,337074685.62413500,33010212.5789568,284.6695011,2.8E-05,0.0004184264833,1.89E-06,17.76679092,0.2926551302
16,2021,442,71045046305,611000,91.7,7762253.747333610,703305.879981894,284.8963301,3.03E-05,0.0004184225533,1.89E-06,17.45681347,0.113937025
17,2021,484,1208299602498,135384000,81.0,314305527.27288700,146231144.13381100,295.5891138,3.63E-05,0.000418423042,1.89E-06,29.45587905,0.08158748665
18,2021,528,827653176373,17230000,92.6,105376777.07729600,13440156.82219560,284.3640662,2.5E-05,0.0004184217255,1.89E-06,16.34708669,0.1042761295
19,2021,554,213596510623,4876000,86.8,25506558.69154190,41710288.5149692,288.5373908,3.77E-05,0.000418423553,1.89E-06,18.92144188,0.08631196248
20,2021,578,417517457539,5500000,83.3,30644812.6669606,37008954.1419498,277.7750724,2.76E-05,0.0004184210464,1.89E-06,11.9377638,0.0877780269
21,2021,616,574813850435,37847000,60.1,189583720.10660500,74598424.45447750,282.6369432,2.57E-05,0.0004184245986,1.89E-06,16.01990024,0.1273948588
22,2021,620,212600590967,10183000,66.8,48221974.30225670,13515080.07813530,287.2717067,3E-05,0.000418417505,1.89E-06,18.19246462,0.09434044233
24,2021,724,1249710237157,46450000,81.1,247196832.05442300,68789978.52125760,286.7595702,2.71E-05,0.0004184174107,1.89E-06,17.698947,0.08803261035
25,2021,752,552092558635,10188000,88.2,60117964.00206670,90471985.32018370,278.3175621,2.75E-05,0.0004184205478,1.89E-06,12.36220332,0.08208449522
26,2021,756,759858338559,8731000,74.0,37444837.88160220,8574813.19147368,293.3423894,2.17E-05,0.0003836669154,1.73E-06,23.01584816,0.1405471388
27,2021,792,1072910786493,84515000,76.6,290298443.9140900,111604539.40203600,285.0510784,2.95E-05,0.0004184283989,1.89E-06,15.0135208,0.1725799568
28,2021,826,3062008441853,67699000,84.2,277011736.13495100,72729792.62029720,284.4700671,3.03E-05,0.000418417838,1.89E-06,16.36499159,0.09909283059
29,2021,840,20602876855524,333783000,82.9,2806605578.7192700,1121855609.2669900,286.4673015,3.41E-05,0.0004184189274,1.89E-06,18.43379374,0.06872985175
30,2021,32,545983817172,45914000,92.2,149554747.64059500,289038885.85156700,287.3196909,2.52E-05,0.0004184210479,1.89E-06,16.00891184,0.08502917682
31,2021,76,1813987018811,215278000,87.3,561897274.8349050,1798261595.3252300,296.4723872,5.31E-05,0.0004184211893,1.89E-06,35.81264218,0.1022215725
32,2021,152,265389172970,18605000,87.8,82850834.76638130,62871093.07471010,285.3797238,3.16E-05,0.0004184227362,1.89E-06,13.03650081,0.07467056198
33,2021,156,15855942990385,1428481000,62.5,6299061722.36158,1379189934.2469200,280.8779353,2.64E-05,0.0004184249242,1.89E-06,15.26431205,0.2379355545
34,2021,170,321005894175,50576000,81.7,94835517.61364920,171748177.00634200,298.9116985,9.27E-05,0.0004184214688,1.89E-06,47.22161125,0.1144656769
35,2021,356,2719858771731,1397423000,35.4,1788886661.2251700,607658387.1606070,291.1524529,2.67E-05,0.0004184259124,1.89E-06,23.35105662,0.3658588966
36,2021,360,1079854239407,274854000,57.3,500835745.590237,339321561.34163700,300.9579022,0.0001029323312,0.0004184231211,1.89E-06,55.02134185,0.1062576859
37,2021,376,346886808788,8842000,92.7,43804133.54335700,1719327.2908662900,293.4222904,1.58E-05,0.0001743933559,7.86E-07,17.46445342,0.1992972088
38,2021,682,746326635855,35263000,84.5,174718035.54636900,14017069.609359600,299.3580243,4.38E-06,0.0004184223523,1.89E-06,16.84643434,0.2788892088
39,2021,710,344983951926,59366000,67.8,225298797.69856900,57579706.08357830,294.0766499,1.87E-05,0.0004184242511,1.89E-06,18.90373862,0.1112315125
40,2021,100,58500679589,6892000,76.0,26563125.87302530,23125330.56532320,284.52097,2.43E-05,0.0004184261574,1.89E-06,16.99865889,0.1726403015
41,2021,642,221383936514,19295000,54.3,73174216.5190479,61612468.73148820,283.019077,3.1E-05,0.0004184275876,1.89E-06,16.72664114,0.1683472188
42,2022,36,1577788719425,25996000,86.5,187008183.14242500,294326871.1014070,295.2109758,2.19E-05,0.0004211522471,1.88E-06,24.13154036,0.0894312749
43,2022,40,418240500043,8820000,59.3,57419836.03376490,23518424.006974500,284.2134456,3.55E-05,0.0004211526924,1.88E-06,17.23760125,0.1273937408
44,2022,56,500785743534,11711000,98.2,84098850.90855600,9020402.018800390,285.4166174,2.96E-05,0.000421155735,1.88E-06,18.38655171,0.1148305213
45,2022,124,1696452361073,38242000,81.8,313286416.0746150,548407724.1869910,272.9037381,2.61E-05,0.0004211496562,1.88E-06,11.30624097,0.0598150912
46,2022,203,217525081083,10632000,74.4,60699411.42277970,25784993.44483940,284.6698899,3.02E-05,0.0004211578055,1.88E-06,17.75565238,0.1339430677
47,2022,208,347370597891,5842000,88.4,40332703.06379480,22616725.169778300,280.0655626,5.08E-05,0.0004211562555,1.88E-06,14.27493723,0.09835965535
48,2022,246,261282366476,5617000,85.7,33689019.66818760,67331456.47201300,276.6942832,2.54E-05,0.0004211612196,1.88E-06,12.28881635,0.09043898345
49,2022,250,2633702478236,66182000,81.5,292089787.4759020,159592867.84271100,285.5820573,3.66E-05,0.0004211525137,1.88E-06,17.8225266,0.1157370907
50,2022,276,3675716735392,82592000,77.6,388350523.2311460,120371291.4627750,284.6036854,3.75E-05,0.0004211566365,1.88E-06,17.67711176,0.1212535374
51,2022,300,203376957092,11045000,80.4,43426486.30746010,13960900.20975870,287.7743857,2.49E-05,0.0004211682191,1.88E-06,17.19935846,0.1555107293
52,2022,348,153457085628,9551000,72.6,36699881.17989670,26846222.77675550,283.7171741,3.06E-05,0.0004211554088,1.88E-06,16.92679603,0.1454208006
54,2022,372,418624852618,4962000,64.2,25869235.009215400,14787245.684631200,284.2292137,5.72E-05,0.0004211494432,1.88E-06,17.17554248,0.1331618975
55,2022,380,1900008878852,58937000,71.7,266077513.9099590,50884981.02895590,285.7505534,3.61E-05,0.0004211524168,1.88E-06,16.70370558,0.1209795624
56,2022,392,4572786126608,125697000,92.0,606822745.4963740,73417989.08774850,283.1199863,4.13E-05,0.00042115143,1.88E-06,18.50791527,0.1949184729
